height,pressure,temp,tdew
m,hPa,K,K
2934.10,725.45,276.19,252.67
2944.80,724.50,276.11,252.64
2955.50,723.54,276.05,252.61
2967.30,722.48,275.97,252.56
2978.60,721.47,275.88,252.49
2989.10,720.53,275.79,252.43
3000.40,719.53,275.70,252.41
3011.50,718.54,275.61,252.44
3023.20,717.50,275.52,252.47
3034.80,716.47,275.42,252.54
3047.40,715.35,275.32,252.61
3058.40,714.37,275.24,252.65
3069.00,713.44,275.17,252.70
3080.50,712.41,275.10,252.73
3091.20,711.47,275.04,252.74
3100.60,710.64,274.98,252.79
3111.60,709.67,274.92,252.92
3123.40,708.63,274.89,253.26
3135.00,707.61,274.86,253.91
3146.70,706.59,274.82,254.43
3159.00,705.51,274.74,254.49
3171.90,704.38,274.64,254.36
3184.20,703.30,274.57,254.24
3196.00,702.27,274.48,254.13
3207.60,701.26,274.37,254.01
3218.70,700.29,274.27,253.91
3230.10,699.30,274.16,253.84
3240.60,698.39,274.07,253.77
3250.40,697.53,273.98,253.66
3261.70,696.55,273.90,253.49
3273.70,695.51,273.84,252.83
3285.50,694.49,273.87,250.74
3296.30,693.55,274.01,247.31
3306.50,692.67,274.10,245.54
3316.70,691.79,274.14,245.12
3328.10,690.81,274.14,244.65
3339.90,689.79,274.10,244.57
3351.50,688.79,274.04,244.65
3362.90,687.82,274.00,244.80
3373.80,686.88,273.98,245.34
3385.40,685.89,273.93,246.52
3397.50,684.86,273.82,247.39
3407.50,684.01,273.75,247.61
3417.20,683.18,273.70,247.57
3428.40,682.22,273.62,247.48
3440.20,681.22,273.57,247.34
3452.50,680.17,273.52,247.06
3463.00,679.28,273.47,246.77
3473.40,678.40,273.40,246.56
3486.20,677.32,273.36,246.24
3498.70,676.26,273.35,245.88
3510.30,675.28,273.31,245.72
3520.90,674.39,273.27,245.65
3531.90,673.46,273.23,245.47
3543.70,672.47,273.17,245.26
3556.10,671.43,273.12,245.04
3569.00,670.34,273.06,244.78
3581.20,669.32,273.02,244.54
3592.00,668.42,272.99,244.39
3602.10,667.57,272.96,244.24
3613.40,666.63,272.94,243.97
3625.30,665.64,272.90,243.67
3636.10,664.74,272.86,243.58
3646.70,663.86,272.79,243.64
3657.60,662.96,272.70,243.67
3668.70,662.04,272.61,243.76
3680.90,661.02,272.54,244.01
3694.40,659.90,272.47,244.30
3707.90,658.79,272.39,244.26
3720.70,657.73,272.30,243.87
3733.60,656.67,272.18,243.51
3746.20,655.63,272.07,243.33
3757.80,654.67,271.98,243.24
3770.00,653.67,271.90,243.19
3782.50,652.65,271.82,243.07
3795.00,651.62,271.71,242.99
3807.10,650.63,271.61,243.24
3819.30,649.63,271.52,243.79
3832.40,648.57,271.42,244.23
3844.50,647.58,271.31,244.37
3855.20,646.71,271.22,244.39
3866.50,645.79,271.12,244.41
3879.70,644.71,271.00,244.48
3893.40,643.60,270.88,244.62
3906.40,642.55,270.76,244.70
3918.50,641.57,270.66,244.74
3931.20,640.54,270.54,244.73
3944.80,639.45,270.40,244.71
3958.10,638.37,270.26,244.83
3969.30,637.47,270.15,245.07
3977.70,636.79,270.08,245.31
3985.20,636.19,270.02,245.53
3994.10,635.47,269.94,245.68
4005.20,634.58,269.83,245.74
4017.20,633.62,269.71,245.80
4029.90,632.59,269.61,245.83
4042.60,631.58,269.49,245.75
4054.90,630.59,269.42,245.41
4067.60,629.58,269.36,244.78
4080.10,628.58,269.29,244.14
4091.70,627.66,269.21,243.85
4103.00,626.76,269.12,243.84
4115.00,625.81,269.02,243.82
4128.50,624.74,268.90,243.61
4141.20,623.73,268.79,243.38
4152.30,622.85,268.70,243.37
4163.20,621.99,268.59,243.54
4174.40,621.10,268.49,243.90
4185.00,620.27,268.42,244.29
4195.60,619.42,268.33,244.82
4207.10,618.52,268.23,245.13
4219.80,617.52,268.14,245.20
4232.60,616.52,268.03,245.21
4244.10,615.61,267.92,245.13
4256.10,614.67,267.79,244.99
4268.00,613.74,267.69,244.84
4280.30,612.78,267.60,244.71
4294.40,611.68,267.47,244.81
4308.60,610.57,267.35,245.23
4321.20,609.59,267.24,245.44
4333.80,608.60,267.12,245.10
4346.20,607.64,267.00,244.73
4359.10,606.64,266.89,244.40
4372.20,605.62,266.77,243.82
4384.80,604.65,266.67,242.88
4397.30,603.68,266.58,241.51
4409.10,602.76,266.50,240.45
4420.80,601.87,266.43,239.79
4434.40,600.81,266.35,239.32
4448.80,599.71,266.26,239.20
4462.00,598.69,266.18,239.29
4475.30,597.67,266.08,239.60
